id,song_spotify,artist_spotify,album,release_date,popularity
6x9pCndnXEoea0CMcfjs9W,n.h.i.e.,21 Savage,american dream,2024-01-12,79
6XaJfhwof7qIgbbXO5tIQI,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,ORQUÍDEAS,2024-01-12,88
47yD0e9MCRIB8dgUXPfyW3,pop ur shit,21 Savage,american dream,2024-01-12,73
2K7sv1mno9PvbXVBpqvSKn,sneaky,21 Savage,american dream,2024-01-12,76
0fyP96TikhD9sM4eKqw5Yp,dangerous,21 Savage,american dream,2024-01-12,74
4Xzq2WibDHR5Eufi21HlEZ,should've wore a bonnet,21 Savage,american dream,2024-01-12,74
5wttBUDyaHAR5q9fYnN3YF,prove it,21 Savage,american dream,2024-01-12,78
4yLyVdEqV790aIXyGif85v,red sky,21 Savage,american dream,2024-01-12,73
5P1z8XwsCStb74emERTx9v,letter to my brudda,21 Savage,american dream,2024-01-12,69
4E64eAph6AYI98ucunrGH8,see the real,21 Savage,american dream,2024-01-12,69
5KI7I4mEtulXcv5VQJaV35,just like me,21 Savage,american dream,2024-01-12,71
17CWWoszMuoGecCJzmOubE,J CHRIST,Lil Nas X,J CHRIST,2024-01-12,71
02Cp3VTUWNed8hr69BhKz6,dark days,21 Savage,american dream,2024-01-12,70
582YxhgpJEY0aEHQtVQFhO,02.02.99,That Mexican OT,02.02.99,2024-01-09,74
0WIv5qV41y6YjjB9V1biuC,Made For Me,Muni Long,Made For Me,2023-09-15,87
5SfSPv3l3XoqTVmotqQ2iq,act ii: date @ 8 (feat. Drake) - remix,4batz,act ii: date @ 8 (feat. Drake) [remix],2024-03-07,51
4dtIxANFBU6CfhI9c2hf2g,Coal,Dylan Gossett,Coal,2023-07-27,84
3JmmzgSs6VvBa3gQzcijsm,When It Comes To You,Fridayy,When It Comes To You,2023-07-21,64
19Bk7ulfjk4Vg4PMS38UGc,IDGAF (feat. Chris Brown and Mariah the Scientist),Tee Grizzley,IDGAF (feat. Chris Brown and Mariah the Scientist),2023-09-08,62
2eGvz6O6tVnh9nKiitDEhZ,I Can Feel It,Kane Brown,I Can Feel It,2023-09-21,73
1ZpPaBDswjV3VSUKqLDXPE,23,Chayce Beckham,23,2021-05-14,79
2OWv3lRR8PtOVuHWzQNRs2,Rompe La Dompe,Peso Pluma,Rompe La Dompe,2023-12-28,85
4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,Sophie Ellis-Bextor,Read My Lips,2002-06-06,89
6d3QUBsiAw3aZI6F2mMhzk,Wildflowers and Wild Horses (Single Version),Lainey Wilson,Wildflowers and Wild Horses,2023-11-08,74
15sxLiiChE5dCW3Y756oas,I Saw Mommy Kissing Santa Claus,The Jackson 5,Christmas Album,1970-10-15,48
2GapxG7BxK55ihQRAlR39e,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,A Perry Como Christmas,2001-05-21,43
05WVKTdZhlIMX4qqMLuo0f,BELLAKEO,Peso Pluma,BELLAKEO,2023-12-07,89
0R6NfOiLzLj4O5VbYSJAjf,La Diabla,Xavi,La Diabla,2023-11-30,94
6gmY1F2AMw2i4gO79ppBAe,"Baby, It’s Cold Outside",Brett Eldredge,Jingle Bells 2023,2023-08-25,0
73f5rpLgydSRIvHzRLcJFF,Crazy,Lil Baby,Crazy,2023-12-15,68
6uTPdRrEDeH8Fyg5L5qmeU,Never Lose Me,Flo Milli,Never Lose Me,2023-11-30,86
4qmG24ebshLXtKu9HIShBP,Lace It (with Eminem & benny blanco),Juice WRLD,Lace It (with Eminem & benny blanco),2023-12-16,76
7rr3gguU3TcVnLZD9VzASE,Mind On You,George Birge,Mind On You,2021-11-05,57
5XVdHRf4CAJ2Jm0uMIy5qY,La Víctima,Xavi,La Víctima,2023-08-17,91
1HbzxLqpNVPdiBXvpC7Ovb,Wondering Why,The Red Clay Strays,Moment of Truth,2022-04-29,82
2ljUUoqlnRUGGa7bmpvevC,DJ Play A Christmas Song,Cher,DJ Play A Christmas Song,2023-10-06,46
0u1Sp4e3Phbbg9U215CMBe,Suite No.2: Daphnis et Chloé,Maurice Ravel,Classical Winter Wonderland,2019-11-21,0
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,94
5ZJGv7aGdIr9IGpxzSG18T,Everybody (feat. Lil Uzi Vert),Nicki Minaj,Pink Friday 2,2023-12-08,79
0I89140kBBWb1e1JeA06sb,Needle (feat. Drake),Nicki Minaj,Pink Friday 2 (Gag City Deluxe),2023-12-15,49
1a73gcEg6h6Re6hHXoVltJ,FTCU,Nicki Minaj,Pink Friday 2,2023-12-08,83
1fKT7RUtOf4xNEqctEFe5L,Barbie Dangerous,Nicki Minaj,Pink Friday 2,2023-12-08,65
1WTdZjiHI4vYnENXLn69x0,Are You Gone Already,Nicki Minaj,Pink Friday 2,2023-12-08,64
0HNZ08vNP0aFR1GsihiV3l,Let Me Calm Down (feat. J. Cole) - Extended Version,Nicki Minaj,Let Me Calm Down (Extended Version),2024-03-03,62
5iHC401tsNlJRY46ECSYbo,Beep Beep,Nicki Minaj,Pink Friday 2,2023-12-08,67
51hyZpbJlIgZIaX3TtMxmu,run for the hills,Tate McRae,THINK LATER,2023-12-08,80
0ZhPWSfAKzeVQbRG08E1iI,Big Difference,Nicki Minaj,Pink Friday 2,2023-12-08,65
7aWeQwHSMD6TzPOepi1tlb,Fallin 4 U,Nicki Minaj,Pink Friday 2,2023-12-08,62
4DNmr6nXrvHLRh6oxOHNsz,RNB (feat. Lil Wayne & Tate Kobang),Nicki Minaj,Pink Friday 2,2023-12-08,61
44L2bY93uD65CEHWbozpx4,Pink Friday Girls,Nicki Minaj,Pink Friday 2,2023-12-08,74
15wos7ChIkysPIrX31hwwa,Cowgirl (feat. Lourdiz),Nicki Minaj,Pink Friday 2,2023-12-08,61
70M5FBXSs1b1tJF2zywHyP,Pink Birthday,Nicki Minaj,Pink Friday 2,2023-12-08,60
2pwC49pIHyJKmbhlGa3lqL,Bahm Bahm,Nicki Minaj,Pink Friday 2,2023-12-08,63
7omJfT9s6V2IpQNBYyq5C8,MY HOUSE,Beyoncé,MY HOUSE,2023-12-01,69
4PRdeh2zIyM1pvY4x5luLe,"Everywhere, Everything (with Gracie Abrams)",Noah Kahan,"Everywhere, Everything (with Gracie Abrams)",2023-12-01,71
1nQaTUDJ7Rc4yOvZmg9Ozr,Mmhmm,BigXthaPlug,Mmhmm,2023-10-06,77
2Zo1PcszsT9WQ0ANntJbID,Feather,Sabrina Carpenter,emails i can’t send fwd:,2023-03-17,91
3CWq0pAKKTWb0K4yiglDc4,You’re Losing Me (From The Vault),Taylor Swift,You're Losing Me (From The Vault),2023-11-29,84
1HLaJowFbNM3MPyqnk5vjW,Labios Mordidos (with KAROL G),Kali Uchis,Labios Mordidos (with KAROL G),2023-11-24,74
5Se32hEA9raeboZerywxka,You Broke My Heart,Drake,For All The Dogs Scary Hours Edition,2023-11-17,80
2ut4BOQSqxLpcX5MtPjzYa,Evil Ways (feat. J. Cole),Drake,For All The Dogs Scary Hours Edition,2023-11-17,68
4E63weMCaNZuGPEFMnuEi8,exes,Tate McRae,THINK LATER,2023-12-08,88
5Mc8XDfGQCMkOEZm9rS1cE,Red Button,Drake,For All The Dogs Scary Hours Edition,2023-11-17,63
2Mph2Rvl5kVg0MYtfV60wZ,The Shoe Fits,Drake,For All The Dogs Scary Hours Edition,2023-11-17,64
0ZB5pdrM1leH58IgokDPZM,Stories About My Brother,Drake,For All The Dogs Scary Hours Edition,2023-11-17,64
4ASBfwBwwo7DTT2zq9YSLP,Wick Man,Drake,For All The Dogs Scary Hours Edition,2023-11-17,58
0eBFgRxyVSeuT4iyrbukdn,Where the Wild Things Are,Luke Combs,Gettin' Old,2023-03-24,86
1lbjDy6IIerHFGZWKG0hno,"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",André 3000,New Blue Sun,2023-11-17,56
4xhsWYTOGcal8zt0J161CU,Lovin On Me,Jack Harlow,Lovin On Me,2023-11-10,93
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,Houdini,2023-11-09,92
4oEf84vBYVftf6KmZexhVo,Northern Attitude (with Hozier),Noah Kahan,Northern Attitude (with Hozier),2023-11-10,75
1OG1NoKpZZLrMqMYCk9m84,LALALALA,Stray Kids,ROCK-STAR,2023-11-10,81
3DFkDKoILOZ3an5oJzKDNZ,Smurk Carter,Lil Durk,Smurk Carter,2023-11-10,55
7HRW1XRyOITRJWrygoKL9u,Different 'Round Here,Riley Green,Ain't My Last Rodeo,2023-10-13,70
