song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Surface Pressure,Jessica Darrow,Surface Pressure_Jessica Darrow,0.65,0.584,2.0,-8.286,1.0,0.307,0.0174,1.54e-06,0.042,0.37,180.088,audio_features,760jhRscwGbIIe1m1IIQpU,spotify:track:760jhRscwGbIIe1m1IIQpU,https://api.spotify.com/v1/tracks/760jhRscwGbIIe1m1IIQpU,https://api.spotify.com/v1/audio-analysis/760jhRscwGbIIe1m1IIQpU,202227.0,4.0
Christmas Tree,V,Christmas Tree_V,0.437,0.384,5.0,-8.384,1.0,0.042,0.699,2.33e-05,0.121,0.181,139.009,audio_features,186NCtNk1tUYS7c2DxgJ7O,spotify:track:186NCtNk1tUYS7c2DxgJ7O,https://api.spotify.com/v1/tracks/186NCtNk1tUYS7c2DxgJ7O,https://api.spotify.com/v1/audio-analysis/186NCtNk1tUYS7c2DxgJ7O,209947.0,4.0
Hrs And Hrs,Muni Long,Hrs And Hrs_Muni Long,0.52,0.546,8.0,-4.991,0.0,0.213,0.579,0.0,0.112,0.634,137.419,audio_features,3ncmoWTwJgx63LwMTyBCXf,spotify:track:3ncmoWTwJgx63LwMTyBCXf,https://api.spotify.com/v1/tracks/3ncmoWTwJgx63LwMTyBCXf,https://api.spotify.com/v1/audio-analysis/3ncmoWTwJgx63LwMTyBCXf,204317.0,3.0
I Am Woman,Emmy Meli,I Am Woman_Emmy Meli,0.646,0.471,10.0,-9.247,1.0,0.157,0.122,0.0,0.125,0.455,170.084,audio_features,3nOz1U41SZZ0N3fuUWr9nb,spotify:track:3nOz1U41SZZ0N3fuUWr9nb,https://api.spotify.com/v1/tracks/3nOz1U41SZZ0N3fuUWr9nb,https://api.spotify.com/v1/audio-analysis/3nOz1U41SZZ0N3fuUWr9nb,232813.0,4.0
Pressure,Ari Lennox,Pressure_Ari Lennox,0.85,0.658,0.0,-5.558,1.0,0.221,0.139,0.0,0.063,0.832,144.445,audio_features,6ElfCM1XppU0YWkkFYh4s2,spotify:track:6ElfCM1XppU0YWkkFYh4s2,https://api.spotify.com/v1/tracks/6ElfCM1XppU0YWkkFYh4s2,https://api.spotify.com/v1/audio-analysis/6ElfCM1XppU0YWkkFYh4s2,193279.0,4.0
Beers On Me,"Dierks Bentley, BRELAND & HARDY","Beers On Me_Dierks Bentley, BRELAND & HARDY",0.59,0.846,4.0,-4.251,1.0,0.0396,0.182,0.0,0.53,0.733,146.028,audio_features,19ZzEzb4BVK1wVO4brrmZz,spotify:track:19ZzEzb4BVK1wVO4brrmZz,https://api.spotify.com/v1/tracks/19ZzEzb4BVK1wVO4brrmZz,https://api.spotify.com/v1/audio-analysis/19ZzEzb4BVK1wVO4brrmZz,174681.0,4.0
23,Sam Hunt,23_Sam Hunt,0.641,0.78,3.0,-5.138,1.0,0.0852,0.0206,0.0,0.143,0.693,98.004,audio_features,4PuAqZlL1tkidkuxfDlLbF,spotify:track:4PuAqZlL1tkidkuxfDlLbF,https://api.spotify.com/v1/tracks/4PuAqZlL1tkidkuxfDlLbF,https://api.spotify.com/v1/audio-analysis/4PuAqZlL1tkidkuxfDlLbF,179720.0,4.0
Broadway Girls,Lil Durk Featuring Morgan Wallen,Broadway Girls_Lil Durk Featuring Morgan Wallen,0.659,0.745,10.0,-3.599,1.0,0.0347,0.0417,0.0,0.296,0.54,74.967,audio_features,7qTaDOcld0VmBWXnkbUj45,spotify:track:7qTaDOcld0VmBWXnkbUj45,https://api.spotify.com/v1/tracks/7qTaDOcld0VmBWXnkbUj45,https://api.spotify.com/v1/audio-analysis/7qTaDOcld0VmBWXnkbUj45,185600.0,4.0
Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,Linus And Lucy (Peanuts Theme)_Vince Guaraldi Trio,0.485,0.507,8.0,-11.072,1.0,0.0374,0.857,0.937,0.194,0.564,81.675,audio_features,4C8N0DioyIMwucrkh66uhG,spotify:track:4C8N0DioyIMwucrkh66uhG,https://api.spotify.com/v1/tracks/4C8N0DioyIMwucrkh66uhG,https://api.spotify.com/v1/audio-analysis/4C8N0DioyIMwucrkh66uhG,184613.0,4.0
Christmastime Is Here,Vince Guaraldi Trio,Christmastime Is Here_Vince Guaraldi Trio,0.336,0.17,5.0,-17.225,1.0,0.0327,0.957,0.661,0.0929,0.102,140.481,audio_features,6NQchnlpozM5o4n6WfDznd,spotify:track:6NQchnlpozM5o4n6WfDznd,https://api.spotify.com/v1/tracks/6NQchnlpozM5o4n6WfDznd,https://api.spotify.com/v1/audio-analysis/6NQchnlpozM5o4n6WfDznd,369707.0,3.0
